tipo de material,codigo,nombre,pkg
TERMINAL,TAP11ABS22SN,962875-2,4000
TERMINAL,TAP11GET02AU,1393364-2,10000
TERMINAL,TAP11JPT08SN,927772-3,3500
TERMINAL,TAP11JPT18AU,1-927772-1,3500
TERMINAL,TAP11LAMD8SN,1241378-1,4500
TERMINAL,TAP11M1206SN,2005544-1,8000
TERMINAL,TAP11M28K6AU,1564984-2,3500
TERMINAL,TAP11MC126AG,1452665-3,1
TERMINAL,TAP11MC156SN,1564324-1,4500
TERMINAL,TAP11MC282SN,1-968880-1,4500
TERMINAL,TAP11MQS18SN,2005119-1,7200
TERMINAL,TAP11REM02SN,2390121-1,12000
TERMINAL,TAP11SPT22SN,927839-2,2200
TERMINAL,TAP11WMQS6AU,5-962885-5,9000
TERMINAL,TAP1202502AU,1123343-2,10000
TERMINAL,TAP1202502SN,1123343-1,10000
TERMINAL,TAP1202522BR,1318329-1,10000
TERMINAL,TAP1202541AU,2005154-2,10000
TERMINAL,TAP1202541SN,2005154-1,10000
TERMINAL,TAP1202542SN,2005427-1,10000
TERMINAL,TAP1202552SN,2188446-2,10000
TERMINAL,TAP12025S1SN,1674742-1,10000
TERMINAL,TAP12040C2SN,175180-1,5000
TERMINAL,TAP1204M22SN,173681-1,5000
TERMINAL,TAP1206422SN,2035170-1,1
TERMINAL,TAP1206432AU,1674311-2,10000
TERMINAL,TAP12064B2SN,2098762-1,7500
TERMINAL,TAP1209021SN,368088-1,5000
TERMINAL,TAP1209022SN,368085-1,5000
TERMINAL,TAP1209032SN,1743654-1,5000
TERMINAL,TAP12187F2SN,1897537-1,4000
TERMINAL,TAP1225002BR,170384-1,6456
TERMINAL,TAP1225002SN,170384-2,7000
TERMINAL,TAP1225012AU,1326028-3,7000
TERMINAL,TAP12250F2SN,1897659-1,3000
TERMINAL,TAP1225D02SN,917683-1,8000
TERMINAL,TAP1228002SN,282403-1,4000
TERMINAL,TAP1264Y01SN,1924968-3,7500
TERMINAL,TAP1264Y02SN,2035334-3,7500
